bucket	count
4177248169415	4114648
8354496338831	2598417
12531744508246	844781
16708992677662	811800
20886240847078	409681
25063489016493	112695
29240737185909	427319
33417985355325	194355
37595233524740	1778321
41772481694156	2832698
45949729863572	856047
50126978032987	367958
54304226202403	463449
58481474371819	105850
62658722541234	149353
66835970710650	245307
71013218880066	1951839
75190467049481	1770376
79367715218897	2043687
83544963388313	480742
87722211557728	306691
91899459727144	275253
96076707896559	170781
100253956065975	167824
104431204235391	646127
108608452404806	667545
112785700574222	586051
116962948743638	237687
121140196913053	118404
125317445082469	93582
129494693251885	62694
133671941421300	68121
137849189590716	47489
142026437760132	797912
146203685929547	463002
150380934098963	163670
154558182268379	118319
158735430437794	64837
162912678607210	15516
167089926776626	59332
171267174946041	31318
175444423115457	366335
179621671284873	486972
183798919454288	163615
187976167623704	61231
192153415793119	87426
196330663962535	24953
200507912131951	29092
204685160301366	38135
208862408470782	286679
213039656640198	231580
217216904809613	299749
221394152979029	70701
225571401148445	53788
229748649317860	47774
233925897487276	24189
238103145656692	22214
242280393826107	67746
246457641995523	83461
250634890164939	73425
254812138334354	35365
258989386503770	17757
263166634673186	10478
267343882842601	8663
271521131012017	8439
275698379181432	4909
279875627350848	286720
284052875520264	257791
288230123689679	86487
292407371859095	76063
296584620028511	45344
300761868197926	12656
304939116367342	32000
309116364536758	20021
313293612706173	195434
317470860875589	253361
321648109045005	115636
325825357214420	41890
330002605383836	35351
334179853553252	13139
338357101722667	14175
342534349892083	24207
346711598061499	139996
350888846230914	114839
355066094400330	145895
359243342569746	34986
363420590739161	22920
367597838908577	18642
371775087077992	13552
375952335247408	13897
380129583416824	866477
384306831586239	2394815
388484079755655	1673021
392661327925071	751800
396838576094486	419072
401015824263902	243930
405193072433318	126217
409370320602733	237037
413547568772149	122695
417724816941565	1953841
421902065110980	2164158
426079313280396	683638
430256561449812	416034
434433809619227	294655
438611057788643	81526
442788305958059	158978
446965554127474	164405
451142802296890	1541142
455320050466305	1887711
459497298635721	1389390
463674546805137	374523
467851794974552	291717
472029043143968	166044
476206291313384	129424
480383539482799	149139
484560787652215	589876
488738035821631	588600
492915283991046	594714
497092532160462	217302
501269780329878	97875
505447028499293	79470
509624276668709	64123
513801524838125	56044
517978773007540	142052
522156021176956	566661
526333269346372	328095
530510517515787	140537
534687765685203	95248
538865013854618	44069
543042262024034	17013
547219510193450	42537
551396758362865	23084
555574006532281	328066
559751254701697	374612
563928502871112	120630
568105751040528	53088
572282999209944	62652
576460247379359	17173
580637495548775	24173
584814743718191	28879
588991991887606	208893
593169240057022	187877
597346488226438	190495
601523736395853	42801
605700984565269	33579
609878232734685	32073
614055480904100	16454
618232729073516	13815
622409977242932	65318
626587225412347	68294
630764473581763	59224
634941721751178	34538
639118969920594	11903
643296218090010	7651
647473466259425	9511
651650714428841	5937
655827962598257	4020
660005210767672	245066
664182458937088	137857
668359707106504	54166
672536955275919	53999
676714203445335	22569
680891451614751	7950
685068699784166	24107
689245947953582	10724
693423196122998	147336
697600444292413	231423
701777692461829	69336
705954940631245	31836
710132188800660	28140
714309436970076	7543
718486685139492	10887
722663933308907	18937
726841181478323	103587
731018429647738	87737
735195677817154	106739
739372925986570	21980
743550174155985	15909
747727422325401	13910
751904670494817	9814
756081918664232	9460
760259166833648	1665558
764436415003064	2134358
768613663172479	1510370
772790911341895	836529
776968159511311	324721
781145407680726	221482
785322655850142	196383
789499904019558	188718
793677152188973	106188
797854400358389	2713820
802031648527805	1664536
806208896697220	668861
810386144866636	473307
814563393036051	213766
818740641205467	77462
822917889374883	221474
827095137544298	110641
831272385713714	1592231
835449633883130	2195540
839626882052545	942223
843804130221961	349773
847981378391377	310439
852158626560792	121143
856335874730208	130803
860513122899624	155096
864690371069039	513681
