bucket	count
4177248169415	1231261
8354496338831	798744
12531744508246	235588
16708992677662	225247
20886240847078	119099
25063489016493	38317
29240737185909	112785
33417985355325	48880
37595233524740	487189
41772481694156	749388
45949729863572	216023
50126978032987	84382
54304226202403	122229
58481474371819	30567
62658722541234	35274
66835970710650	60042
71013218880066	612362
75190467049481	491563
79367715218897	636041
83544963388313	128105
87722211557728	93032
91899459727144	85755
96076707896559	46174
100253956065975	48137
104431204235391	180107
108608452404806	165969
112785700574222	162083
116962948743638	56745
121140196913053	32607
125317445082469	25539
129494693251885	16886
133671941421300	17140
137849189590716	11413
142026437760132	199846
146203685929547	113036
150380934098963	39004
154558182268379	29588
158735430437794	18000
162912678607210	5080
167089926776626	14317
171267174946041	7533
175444423115457	107129
179621671284873	136478
183798919454288	46985
187976167623704	17953
192153415793119	25902
196330663962535	7805
200507912131951	7782
204685160301366	10963
208862408470782	81025
213039656640198	60462
217216904809613	87903
221394152979029	19481
225571401148445	15804
229748649317860	13815
233925897487276	6701
238103145656692	6057
242280393826107	22382
246457641995523	27778
250634890164939	25495
254812138334354	13252
258989386503770	6450
263166634673186	3551
267343882842601	3314
271521131012017	3005
275698379181432	1475
279875627350848	65943
284052875520264	60467
288230123689679	19839
292407371859095	17712
296584620028511	10888
300761868197926	3565
304939116367342	7129
309116364536758	4321
313293612706173	57629
317470860875589	68867
321648109045005	33625
325825357214420	10927
330002605383836	10212
334179853553252	4282
338357101722667	3993
342534349892083	6362
346711598061499	34911
350888846230914	25595
355066094400330	35839
359243342569746	8109
363420590739161	5696
367597838908577	4960
371775087077992	3261
375952335247408	3479
380129583416824	244907
384306831586239	624502
388484079755655	457858
392661327925071	178873
396838576094486	100236
401015824263902	62990
405193072433318	32806
409370320602733	57236
413547568772149	27407
417724816941565	470061
421902065110980	494824
426079313280396	151848
430256561449812	83153
434433809619227	67414
438611057788643	21369
442788305958059	34421
446965554127474	34518
451142802296890	432645
455320050466305	478203
459497298635721	352653
463674546805137	84711
467851794974552	75652
472029043143968	44072
476206291313384	30015
480383539482799	37267
484560787652215	143557
488738035821631	131081
492915283991046	145011
497092532160462	45437
501269780329878	23408
505447028499293	19361
509624276668709	14520
513801524838125	13195
517978773007540	33085
522156021176956	116755
526333269346372	73898
530510517515787	29121
534687765685203	19613
538865013854618	10415
543042262024034	4503
547219510193450	9255
551396758362865	5002
555574006532281	86502
559751254701697	93833
563928502871112	30246
568105751040528	13414
572282999209944	16611
576460247379359	4989
580637495548775	6010
584814743718191	7205
588991991887606	52176
593169240057022	44113
597346488226438	48073
601523736395853	10257
605700984565269	8602
609878232734685	8331
614055480904100	4294
618232729073516	3550
622409977242932	19395
626587225412347	18969
630764473581763	17086
634941721751178	10417
639118969920594	3780
643296218090010	2372
647473466259425	3174
651650714428841	1771
655827962598257	1020
660005210767672	55014
664182458937088	32402
668359707106504	12021
672536955275919	11872
676714203445335	5232
680891451614751	2209
685068699784166	5409
689245947953582	2248
693423196122998	40035
697600444292413	54479
701777692461829	17886
705954940631245	7094
710132188800660	6855
714309436970076	2157
718486685139492	2631
722663933308907	4694
726841181478323	23479
731018429647738	17470
735195677817154	22563
739372925986570	4582
743550174155985	3461
747727422325401	3213
751904670494817	2022
756081918664232	2037
760259166833648	537427
764436415003064	607604
768613663172479	462439
772790911341895	228626
776968159511311	94684
781145407680726	65470
785322655850142	53861
789499904019558	52424
793677152188973	28093
797854400358389	730041
802031648527805	424817
806208896697220	160582
810386144866636	115239
814563393036051	54955
818740641205467	21896
822917889374883	53918
827095137544298	26258
831272385713714	497949
835449633883130	615588
839626882052545	257124
