0	32707008
1	34084424
2	32240338
3	31465226
4	33067330
5	34819934
6	30498550
7	28832744
8	32739977
9	34096993
10	32248695
11	31475172
12	33074955
13	34816026
14	30500216
15	28823438
16	32699134
17	34098553
18	32242627
19	31470333
20	33056219
21	34814786
22	30494866
23	28810308
24	32707141
25	34098267
26	32233169
27	31471998
28	33068538
29	34819338
30	30501886
31	28817060
32	32713487
33	34097778
34	32234450
35	31493247
36	33058732
37	34813155
38	30512663
39	28829515
40	32702355
41	34102344
42	32240245
43	31508788
44	33066726
45	34808635
46	30497777
47	28845390
48	32711069
49	34103357
50	32232062
51	31487176
52	33050508
53	34809054
54	30498599
55	28845547
56	32711756
57	34086600
58	32226439
59	31482534
60	33052449
61	34811361
62	30499965
63	28851054
64	28808089
65	28770471
66	29732778
67	28915550
68	27641879
69	29407797
70	30311727
71	28950909
72	28813737
73	28763334
74	29739866
75	28924650
76	27656288
77	29406688
78	30311536
79	28952380
80	28803504
81	28768019
82	29757614
83	28916269
84	27633479
85	29417301
86	30302850
87	28935184
88	28809186
89	28763201
90	29749925
91	28908157
92	27628403
93	29416030
94	30300452
95	28948426
96	28804946
97	28766191
98	29742876
99	28913710
100	27646661
101	29407089
102	30301156
103	28932354
104	28797425
105	28750647
106	29746455
107	28911991
108	27654925
109	29396425
110	30297331
111	28931007
112	28810071
113	28759087
114	29743361
115	28915954
116	27657699
117	29408337
118	30294750
119	28938923
120	28813452
121	28751044
122	29746094
123	28929863
124	27646641
125	29414017
126	30292865
127	28943741
128	34333754
129	32980243
130	32150227
131	32436880
132	34225342
133	33504509
134	29596060
135	29896527
136	34322131
137	32968511
138	32144955
139	32438176
140	34205529
141	33508035
142	29597248
143	29894089
144	34322809
145	32966642
146	32145574
147	32453238
148	34220457
149	33514859
150	29619207
151	29888478
152	34315021
153	32976402
154	32138034
155	32453790
156	34212506
157	33516456
158	29608232
159	29877938
160	34336718
161	32955161
162	32134764
163	32442882
164	34235980
165	33501523
166	29580946
167	29891092
168	34333131
169	32957371
170	32157558
171	32446032
172	34247708
173	33516835
174	29578122
175	29883158
176	34333371
177	32958793
178	32146290
179	32440179
180	34240242
181	33504779
182	29588461
183	29895895
184	34336596
185	32954649
186	32148555
187	32435315
188	34244979
189	33504008
190	29576296
191	29899579
192	28438319
193	28028428
194	28179505
195	29132583
196	29063797
197	29162558
198	28950896
199	29065418
200	28450134
201	28032912
202	28187223
203	29128456
204	29058595
205	29158040
206	28942130
207	29077793
208	28429029
209	28045590
210	28189621
211	29134657
212	29075196
213	29166934
214	28943481
215	29059279
216	28439084
217	28037227
218	28182303
219	29112525
220	29067468
221	29164253
222	28959732
223	29065322
224	28441707
225	28036216
226	28179422
227	29137956
228	29064929
